ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000104626	ERI1	8	8859657	8974256	1	protein_coding	90459	ERI1	0.000454685197816091	0.949360106	7	6.04	9.21784e-06	rs907183	25
ENSG00000175806	MSRA	8	9911778	10286401	1	protein_coding	4482	MSRA	1.69976100303061e-06	0.601529643	90	15.82	2.35592e-09	rs4526366;rs7831557	25
ENSG00000171056	SOX7	8	10581278	10697357	-1	protein_coding	83595	SOX7	0.131241610927833	0.638029508	18	4.381	7.96151e-07	rs2292369	25
ENSG00000258724	SOX7	8	10582909	10697357	-1	protein_coding	83595	SOX7	NA	0.638029508	18	4.381	7.96151e-07	rs2292369	25
ENSG00000254093	PINX1	8	10622473	10697394	-1	protein_coding	54984	PINX1	4.9427916851122e-09	-0.063935492	18	4.381	7.96151e-07	rs2292369	25
ENSG00000171044	XKR6	8	10753555	11058875	-1	protein_coding	286046	XKR6	0.956776701241562	0.199430911	130	12.73	2.4352e-08	rs33999521;rs2244648;rs7831557	25
ENSG00000215346	AF131215.5	8	10983980	10987745	-1	protein_coding	NA	NA	NA	NA	8	5.233	9.56204e-08	rs2244648	25
ENSG00000104643	MTMR9	8	11141925	11185646	1	protein_coding	66036	MTMR9	0.210866148969841	1.579316819	4	3.535	7.91824e-06	rs2244648	25
ENSG00000177710	SLC35G5	8	11188397	11189717	1	protein_coding	83650	SLC35G5	0.0274846347511103	0.517541682	1	1.524	4.5406e-05	rs2244648	25
ENSG00000154319	FAM167A	8	11278972	11332224	-1	protein_coding	83648	FAM167A	0.000192997889999534	0.911877562	7	4.333	3.80791e-06	rs2244648	25
ENSG00000136573	BLK	8	11351510	11422113	1	protein_coding	640	BLK	2.86165843035065e-07	-0.27366236	56	12.24	3.57941e-06	rs2244648	25
ENSG00000136574	GATA4	8	11534468	11617511	1	protein_coding	2626	GATA4	0.802155487205778	0.664928994	6	13.84	7.35074e-07	rs2244648	25
ENSG00000205884	DEFB136	8	11831446	11832108	-1	protein_coding	613210	DEFB136	0.0340000990200746	0.27516663	2	4.611	2.73553e-06	rs2244648	25
ENSG00000205883	DEFB135	8	11839830	11842099	1	protein_coding	613209	DEFB135	1.31655071986469e-06	0.082643215	1	2.88	2.73553e-06	rs2244648	25
ENSG00000185053	SGCZ	8	13947373	15095848	-1	protein_coding	137868	SGCZ	0.00198581635801512	0.145185103	640	19.87	7.84552e-09	rs2059675;rs1037936;rs1397290	26
ENSG00000147601	TERF1	8	73921099	73960357	1	protein_coding	7013	TERF1	0.878033579613451	-0.330983669	15	5.679	3.49031e-06	rs4588900	27
ENSG00000164764	SBSPON	8	73976775	74036323	-1	protein_coding	157869	SBSPON	5.95163270931251e-05	-0.053487937	4	11.37	4.99736e-06	rs4588900	27
ENSG00000107249	GLIS3	9	3824127	4348392	-1	protein_coding	169792	GLIS3	0.000100596771327456	-0.548104382	37	18.76	1.90409e-10	rs1570203	28
ENSG00000147905	ZCCHC7	9	37120536	37358146	1	protein_coding	84186	ZCCHC7	3.37485219287985e-09	0.160585505	66	18.89	8.54543e-08	rs10973207	29
ENSG00000149084	HSD17B12	11	43577986	43878167	1	protein_coding	51144	HSD17B12	0.00555447777759886	-0.701697568	150	20.6	1.55179e-08	rs4592416;rs35186585	32
ENSG00000137672	TRPC6	11	101322295	101743293	-1	protein_coding	7225	TRPC6	0.00456410505335574	-0.601879028	83	10.35	4.26378e-08	rs61916239	33
ENSG00000149292	TTC12	11	113185251	113254266	1	protein_coding	54970	TTC12	1.44726952967987e-07	-0.271528473	18	19.44	3.25085e-07	rs2734835	34
ENSG00000170209	ANKK1	11	113258513	113271140	1	protein_coding	255239	ANKK1	2.51117065910348e-08	-0.017548171	19	8.304	2.07835e-07	rs2734835	34
ENSG00000149295	DRD2	11	113280318	113346413	-1	protein_coding	1813	DRD2	0.733263888671177	NA	32	8.629	1.13785e-08	rs2734835	34
ENSG00000171435	KSR2	12	117890817	118406788	-1	protein_coding	283455	KSR2	0.999946624685717	-0.119279219	25	19.79	3.71737e-08	rs4767550	35
ENSG00000137872	SEMA6D	15	47476298	48066420	1	protein_coding	80031	SEMA6D	0.999469975966626	-0.259466766	59	20.2	2.57976e-10	rs8038326;rs17388803;rs8029928	37
ENSG00000078328	RBFOX1	16	6069095	7763340	1	protein_coding	54715	RBFOX1	0.935961018293749	1.09605486	120	19.45	1.11502e-10	rs6500784;rs78322108;rs3095264;rs3095508	38
ENSG00000166501	PRKCB	16	23847322	24231932	1	protein_coding	5579	PRKCB	0.999908070013039	2.009118153	19	13.93	3.0106e-08	rs11643715	39
ENSG00000140718	FTO	16	53737875	54155853	1	protein_coding	79068	FTO	0.0113445756239307	0.293683447	109	19.32	9.03549e-10	rs9933509;rs3751813	40
ENSG00000087258	GNAO1	16	56225302	56391356	1	protein_coding	2775	GNAO1	0.98428817684836	0.474248501	48	13.62	5.69178e-09	rs8064103	41
ENSG00000179111	HES7	17	8023908	8027410	-1	protein_coding	84667	HES7	0.7828835695289	0.446451979	1	0.455	9.70216e-07	rs72479723	43
ENSG00000179094	PER1	17	8043790	8059824	-1	protein_coding	5187	PER1	0.875748961589664	-0.517542288	15	16.74	2.47443e-08	rs72479723	43
ENSG00000263620	RP11-599B13.6	17	8054134	8066293	-1	protein_coding	NA	NA	NA	NA	15	16.74	2.47443e-08	rs72479723	43
ENSG00000220205	VAMP2	17	8062467	8066864	-1	protein_coding	6844	VAMP2	0.837117600739375	-0.172651754	16	16.74	1.64141e-08	rs72479723	43
ENSG00000179029	TMEM107	17	8076555	8079717	-1	protein_coding	84314	TMEM107	0.0289055801710133	-0.522383915	10	6.317	1.64141e-08	rs72479723	43
ENSG00000196544	C17orf59	17	8091652	8093564	-1	protein_coding	54785	C17orf59	NA	-0.989136126	4	6.97	5.05942e-08	rs72479723	43
ENSG00000178999	AURKB	17	8108056	8113918	-1	protein_coding	9212	AURKB	0.00588233863615652	-0.16187985	13	11.55	7.23321e-08	rs72479723	43
ENSG00000178971	CTC1	17	8130191	8151362	-1	protein_coding	80169	CTC1	3.51222906135356e-07	NA	17	8.086	8.16243e-08	rs72479723	43
ENSG00000178921	PFAS	17	8150936	8173809	1	protein_coding	5198	PFAS	2.79097135483484e-08	-0.866843294	13	8.086	5.7288e-08	rs72479723	43
ENSG00000125434	SLC25A35	17	8191081	8198661	-1	protein_coding	399512	SLC25A35	3.54303681221832e-09	-0.398011938	6	5.742	5.51242e-08	rs72479723	43
ENSG00000108961	RANGRF	17	8191815	8193410	1	protein_coding	29098	RANGRF	0.0207633298112848	-0.22016215	6	5.742	5.51242e-08	rs72479723	43
ENSG00000188803	SHISA6	17	11144580	11467380	1	protein_coding	388336	SHISA6	NA	1.930303232	26	20.3	5.84889e-09	rs11650677	44
ENSG00000259207	ITGB3	17	45331212	45421658	1	protein_coding	3690	ITGB3	0.141699544644917	-0.21470934	10	8.91	4.89197e-08	rs9895274	45
ENSG00000259753	ITGB3	17	45331263	45421658	1	protein_coding	3690	ITGB3	NA	-0.21470934	10	8.91	4.89197e-08	rs9895274	45
ENSG00000178852	EFCAB13	17	45400656	45518678	1	protein_coding	124989	EFCAB13	8.2199210022743e-19	-0.190444586	49	12.77	4.26857e-08	rs9895274	45
ENSG00000141279	NPEPPS	17	45600308	45700642	1	protein_coding	9520	NPEPPS	0.999905920388338	-0.210177495	56	13.25	8.38043e-08	rs9895274	45
ENSG00000108424	KPNB1	17	45726842	45762871	1	protein_coding	3837	KPNB1	0.999994327501246	-0.517927071	31	17.28	7.95487e-08	rs9895274	45
ENSG00000198933	TBKBP1	17	45771447	45789416	1	protein_coding	9755	TBKBP1	0.0383777655190971	-1.546187862	9	17.28	3.42108e-07	rs9895274	45
ENSG00000127452	FBXL12	19	9920943	9938492	-1	protein_coding	54850	FBXL12	0.0145183376555761	-1.007653491	5	8.654	7.71754e-10	rs11672103	46
ENSG00000198258	UBL5	19	9938568	9940791	1	protein_coding	59286	UBL5	0.080158330255147	-0.417524721	6	8.654	7.71754e-10	rs11672103	46
ENSG00000127445	PIN1	19	9945933	9960358	1	protein_coding	5300	PIN1	0.340906808984076	-0.489585178	11	23.3	7.71754e-10	rs11672103	46
ENSG00000105088	OLFM2	19	9964394	10047228	-1	protein_coding	93145	OLFM2	0.964592021100157	NA	24	23.3	8.52473e-10	rs11672103	46
