GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
7	rs10496079	2	58094873	rs2717068	2012-11-02	22949513	EPICURE Consortium	2012-09-04	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/22949513	Genome-wide association analysis of genetic generalized epilepsies implicates susceptibility loci at 1q43, 2p16.1, 2q22.3 and 17q21.32.	Epilepsy (generalized)	702 European ancestry genetic absence epilepsies cases, 586 European ancestry juvenile myoclonic epilepsy cases, 239 European ancestry other genetic generalized epilepsies cases, 2,461 European ancestry controls	347 European ancestry genetic absence epilepsies trios, 166 European ancestry juvenile myoclonic epilepsy trios, 91 European ancestry other genetic generalized epilepsies trios, 385 European ancestry genetic absence epilepsies cases, 382 European ancestry juvenile myoclonic epilepsy cases, 122 European ancestry other genetic generalized epilepsies cases, up to 889 European ancestry controls	2p16.1	intergenic	LOC105377628 - VRK2	105377628	7444		79686	39913	rs2717068-T	rs2717068	0	2717068	intergenic_variant	1	0.412	4E-7	6.3979400086720375	(GAE)	1.27	[1.16-1.40]	Affymetrix [4560000] (imputed)	N
7	rs10496079	2	58156772	rs2176546	2017-08-16	28540026	Anney RJL	2017-05-22	Mol Autism	www.ncbi.nlm.nih.gov/pubmed/28540026	Meta-analysis of GWAS of over 16,000 individuals with autism spectrum disorder highlights a novel locus at 10q24.32 and a significant overlap with schizophrenia.	Autism spectrum disorder or schizophrenia	schizophrenia cases and controls (see Ripke, 2014), up to 6,197 European ancestry ASD cases, up to 7,377 European ancestry controls, up to 1,190 ASD cases, up to 1,190 controls	NA	2p16.1	FANCL, VRK2	VRK2			7444			rs2176546-C	rs2176546	0	2176546	intron_variant	0		1E-10	10.0		1.07	[1.05-1.09]	Affymetrix, Illumina [NR]	N
7	rs10496079	2	58168098	rs2717036	2018-02-27	29292387	Turley P	2018-01-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29292387	Multi-trait analysis of genome-wide association summary statistics using MTAG.	Depressive symptoms	354,862 European ancestry individuals	NA	2p16.1	NR	VRK2			7444			rs2717036-T	rs2717036	0	2717036	intron_variant	0	0.3942	9E-10	9.045757490560675		0.0149	[0.01-0.02] unit decrease	Illumina [NR] (imputed)	N
7	rs10496079	2	58168098	rs2717036	2018-02-27	29292387	Turley P	2018-01-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29292387	Multi-trait analysis of genome-wide association summary statistics using MTAG.	Depressive symptoms (MTAG)	354,862 European ancestry individuals	NA	2p16.1	NR	VRK2			7444			rs2717036-T	rs2717036	0	2717036	intron_variant	0	0.3942	1E-11	11.0		0.0147	[0.01-0.019] unit decrease	Illumina [NR] (imputed)	N
7	rs10496079	2	58168098	rs2717036	2018-02-27	29292387	Turley P	2018-01-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29292387	Multi-trait analysis of genome-wide association summary statistics using MTAG.	Neuroticism (MTAG)	168,105 European ancestry individuals	NA	2p16.1	NR	VRK2			7444			rs2717036-T	rs2717036	0	2717036	intron_variant	0	0.4008	6E-11	10.221848749616356		0.0186	[0.013-0.024] unit decrease	Illumina [NR] (imputed)	N
7	rs10496079	2	58169418	rs2678897	2016-12-13	27067015	Smith DJ	2016-04-12	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/27067015	Genome-wide analysis of over 106 000 individuals identifies 9 neuroticism-associated loci.	Neuroticism	91,370 European ancestry individuals, 15,346 individuals	NA	2p16.1	Intergenic	VRK2			7444			rs2678897-A	rs2678897	0	2678897	intron_variant	0		4E-7	6.3979400086720375		0.074	[0.045-0.103] unit increase	Affymetrix [7207648] (imputed)	N
7	rs10496079	2	58169418	rs2678897	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Self-reported math ability	564,698 European ancestry individuals	NA	2p16.1	Intergenic	VRK2			7444			rs2678897-G	rs2678897	0	2678897	intron_variant	0	0.3892	9E-15	14.045757490560675		0.0155	[0.012-0.019] unit increase	Affymetrix, Illumina [10000000] (imputed)	N
7	rs10496079	2	58169418	rs2678897	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Self-reported math ability (MTAG)	670,471 European ancestry individuals	NA	2p16.1	Intergenic	VRK2			7444			rs2678897-A	rs2678897	0	2678897	intron_variant	0	0.6108	2E-13	12.698970004336019	(MTAG)	0.0135	[0.01-0.017] unit decrease	Affymetrix, Illumina [7100000] (imputed)	N
7	rs10496079	2	58179019	rs2717043	2018-10-31	29942085	Nagel M	2018-06-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29942085	Meta-analysis of genome-wide association studies for neuroticism in 449,484 individuals identifies novel genetic loci and pathways.	Depressed affect	357,957 European ancestry individuals	NA	2p16.1	NR	VRK2			7444			rs2717043-C	rs2717043	0	2717043	intron_variant	0	NR	2E-10	9.698970004336019		0.01528	[0.011-0.02] unit decrease	Affymetrix [10847151] (imputed)	N
7	rs10496079	2	58200748	rs12713370	2018-10-31	29942085	Nagel M	2018-06-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29942085	Meta-analysis of genome-wide association studies for neuroticism in 449,484 individuals identifies novel genetic loci and pathways.	Depression	688,809 European ancestry individuals	NA	2p16.1	NR	VRK2			7444			rs12713370-A	rs12713370	0	12713370	intron_variant	0	NR	2E-9	8.698970004336019		6.035	z score decrease	Affymetrix [10847151] (imputed)	N
7	rs10496079	2	58208074	rs1518395	2017-11-10	28991256	Li Z	2017-10-09	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28991256	Genome-wide association analysis identifies 30 new susceptibility loci for schizophrenia.	Schizophrenia	7,699 Chinese ancestry cases, 35,476 European ancestry cases, 18,327 Chinese ancestry controls, 46,839 European ancestry controls	4,384 Chinese ancestry cases, 5,770 Chinese ancestry controls	2p16.1	VRK2	VRK2			7444			rs1518395-A	rs1518395	0	1518395	intron_variant	0	NR	4E-13	12.397940008672037	(Chinese)	1.1600928	[1.12-1.2]	Affymetrix, Illumina [up to 5107227] (imputed)	N
7	rs10496079	2	58208074	rs1518395	2018-08-03	27479909	Hyde CL	2016-08-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27479909	Identification of 15 genetic loci associated with risk of major depression in individuals of European descent.	Major depressive disorder	84,847 European ancestry cases, 241,266 European ancestry controls	45,773 European ancestry cases, 106,354 European ancestry controls	2p16.1	VRK2	VRK2			7444			rs1518395-G	rs1518395	0	1518395	intron_variant	0	0.61298	4E-12	11.397940008672037		0.032	[0.02-0.044] unit increase	Illumina [1220000] (imputed)	N
7	rs10496079	2	58222928	rs2312147	2009-07-10	19571808	Stefansson H	2009-07-01	Nature	www.ncbi.nlm.nih.gov/pubmed/19571808	Common variants conferring risk of schizophrenia.	Schizophrenia	2,663 European ancestry cases, 13,498 European ancestry controls	10,282 European ancestry cases, 21,093 European ancestry controls	2p16.1	VRK2	VRK2			7444			rs2312147-C	rs2312147	0	2312147	intron_variant	0	NR	3E-7	6.522878745280337		1.09	[NR]	Illumina [314868]	N
7	rs6717480	2	58276280	rs4672229	2017-03-17	27702942	Tang CS	2016-10-03	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/27702942	Trans-ethnic meta-analysis of genome-wide association studies for Hirschsprung disease.	Hirschsprung disease	212 European ancestry cases, 173 Chinese ancestry cases, 122 Korean ancestry cases, 202 European ancestry controls, 615 Chinese ancestry controls, 374 Korean ancestry controls	NA	2p16.1	VRK2, FANCL	VRK2			7444			rs4672229-A	rs4672229	0	4672229	intron_variant	0	NR	3E-8	7.522878745280337	(East Asian, recessive)	2.48	[1.80–3.41]	Affymetrix, Illumina [at least 6512116] (imputed)	N
7	rs10496079	2	58297664	rs10205421	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Highest math class taken	430,445 European ancestry individuals	NA	2p16.1	Intergenic	VRK2			7444			rs10205421-G	rs10205421	0	10205421	intron_variant	0	0.3421	5E-13	12.301029995663981		0.0172	[0.012-0.022] unit increase	Affymetrix, Illumina [10000000] (imputed)	N
7	rs10496079	2	58297664	rs10205421	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Highest math class taken (MTAG)	811,539 European ancestry individuals	NA	2p16.1	Intergenic	VRK2			7444			rs10205421-A	rs10205421	0	10205421	intron_variant	0	0.6579	7E-9	8.154901959985743	(MTAG)	0.0101	[0.0068-0.0134] unit decrease	Affymetrix, Illumina [7100000] (imputed)	N
7	rs10496079	2	58299326	rs10188070	2018-10-31	29942085	Nagel M	2018-06-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29942085	Meta-analysis of genome-wide association studies for neuroticism in 449,484 individuals identifies novel genetic loci and pathways.	Neuroticism	449,484 European ancestry individuals	NA	2p16.1	NR	VRK2			7444			rs10188070-A	rs10188070	0	10188070	intron_variant	0	NR	1E-9	9.0		6.076	z score decrease	Affymetrix [10847151] (imputed)	N
7	rs62141880	2	58492345	rs9789483	2016-07-23	26198764	Goes FS	2015-07-21	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/26198764	Genome-wide association study of schizophrenia in Ashkenazi Jews.	Schizophrenia	592 Ashkenazi Jewish ancestry cases, 505 Ashkenazi Jewish ancestry controls, 36,989 cases, 113,075 controls	NA	2p16.1	NR	EIF3FP3 - LOC105374744	339799	105374744		12523	10902	rs9789483-A	rs9789483	0	9789483	intergenic_variant	1	NR	1E-6	6.0		1.05	[NR]	Illumina [7158791] (imputed)	N
7	rs62141880	2	58505679	rs17398913	2018-10-31	29942085	Nagel M	2018-06-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29942085	Meta-analysis of genome-wide association studies for neuroticism in 449,484 individuals identifies novel genetic loci and pathways.	Neuroticism	449,484 European ancestry individuals	NA	2p16.1	NR	LOC105374744			105374744			rs17398913-T	rs17398913	0	17398913	intron_variant	0	NR	2E-8	7.698970004336019		5.575	z score decrease	Affymetrix [10847151] (imputed)	N
7	rs17190618	2	58882765	rs17190618	2017-03-30	27494321	Jones SE	2016-08-05	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/27494321	Genome-Wide Association Analyses in 128,266 Individuals Identifies New Morningness and Sleep Duration Loci.	Sleep duration	127,573 British individuals	47,180 individuals	2p16.1	VRK2	LINC01122			400955			rs17190618-A	rs17190618	0	17190618	intron_variant	0	0.84	5E-12	11.301029995663981		0.033	[0.023-0.043] hour decrease	NR [16761225] (imputed)	N
7	rs17190618	2	58882765	rs17190618	2017-05-11	27992416	Lane JM	2016-12-19	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27992416	Genome-wide association analyses of sleep disturbance traits identify new loci and highlight shared genetics with neuropsychiatric and metabolic traits.	Sleep duration	111,975 European ancestry individuals	NA	2p16.1	VRK2	LINC01122			400955			rs17190618-T	rs17190618	0	17190618	intron_variant	0	NR	4E-6	5.3979400086720375		1.6	[0.93-2.27] minutes increase	Affymetrix [up to 73355677] (imputed)	N
7	rs10176091	2	58950363	rs17615494	2018-11-26	30275531	Klarin D	2018-10-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30275531	Genetics of blood lipids among ~300,000 multi-ethnic participants of the Million Veteran Program.	HDL cholesterol	215,551 European ancestry individuals, 57,332 African American individuals, 24,743 Hispanic individuals	Up to 319,677 individuals	2p16.1	LINC01122	LINC01122			400955			rs17615494-T	rs17615494	0	17615494	intron_variant	0	0.2881	1E-10	10.0		0.0167	[0.012-0.022] mg dl−1 decrease	Affymetrix [up to 31400000] (imputed)	N
8	rs62158206	2	114082175	rs62158170	2018-11-29	30224653	Evangelou E	2018-09-17	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30224653	Genetic analysis of over 1 million people identifies 535 new loci associated with blood pressure traits.	Diastolic blood pressure	757,601 European ancestry individuals	NA	2q14.1	PAX8	LOC105373567			105373567			rs62158170-A	rs62158170	0	62158170	regulatory_region_variant	0	0.7834	7E-15	14.154901959985743		0.1645	[0.12-0.21] mmHg increase	Affymetrix, Illumina [~ 7100000] (imputed)	N
8	rs62158206	2	114090412	rs1823125	2015-08-14	25469926	Gottlieb DJ	2014-12-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/25469926	Novel loci associated with usual sleep duration: the CHARGE Consortium Genome-Wide Association Study.	Sleep duration	47,180 European ancestry individuals	4,771 African American individuals	2q14.1	PAX8, LOC101927400, CBWD2	LOC101927400			101927400			rs1823125-G	rs1823125	0	1823125	intergenic_variant	0	0.26	1E-10	10.0		3.14	[NR] unit increase	Affymetrix, Illumina [2033301]	N
8	rs62158206	2	114106139	rs62158211	2017-03-30	27494321	Jones SE	2016-08-05	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/27494321	Genome-Wide Association Analyses in 128,266 Individuals Identifies New Morningness and Sleep Duration Loci.	Sleep duration	127,573 British individuals	47,180 individuals	2q14.1	PAX8	LOC101927400			101927400			rs62158211-G	rs62158211	0	62158211	intergenic_variant	0	0.79	2E-23	22.69897000433602		0.039	[0.029-0.049] hour decrease	NR [16761225] (imputed)	N
8	rs62158206	2	114106139	rs62158211	2017-03-30	27494321	Jones SE	2016-08-05	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/27494321	Genome-Wide Association Analyses in 128,266 Individuals Identifies New Morningness and Sleep Duration Loci.	Sleep duration (oversleepers vs undersleepers)	10,102 British oversleeper individuals, 28,980 British undersleeper indivdiuals	NA	2q14.1	PAX8	LOC101927400			101927400			rs62158211-T	rs62158211	0	62158211	intergenic_variant	0	0.21	1E-7	7.0		1.0638298	[1.04-1.09]	NR [16761225] (imputed)	N
8	rs62158206	2	114106139	rs62158211	2017-05-11	27992416	Lane JM	2016-12-19	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27992416	Genome-wide association analyses of sleep disturbance traits identify new loci and highlight shared genetics with neuropsychiatric and metabolic traits.	Sleep duration	111,975 European ancestry individuals	NA	2q14.1	PAX8	LOC101927400			101927400			rs62158211-T	rs62158211	0	62158211	intergenic_variant	0	0.213	5E-14	13.301029995663981		0.039	[0.029-0.049] hours increase	Affymetrix [up to 73355677] (imputed)	N
8	rs62158206	2	114106139	rs62158211	2017-05-11	27992416	Lane JM	2016-12-19	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27992416	Genome-wide association analyses of sleep disturbance traits identify new loci and highlight shared genetics with neuropsychiatric and metabolic traits.	Sleep traits (multi-trait analysis)	At least 112,586 European ancestry individuals	NA	2q14.1	PAX8	LOC101927400			101927400			rs62158211-?	rs62158211	0	62158211	intergenic_variant	0	0.214	8E-13	12.096910013008056				Affymetrix [up to 73355677] (imputed)	N
8	rs62158206	2	114106139	rs62158211	2017-09-11	28604731	Hammerschlag AR	2017-06-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28604731	Genome-wide association analysis of insomnia complaints identifies risk genes and genetic overlap with psychiatric and metabolic traits.	Sleep duration	112,411 European ancestry male individuals	NA	2q14.1	NR	LOC101927400			101927400			rs62158211-T	rs62158211	0	62158211	intergenic_variant	0	0.21	1E-12	12.0		0.037	[0.027-0.047] unit increase	Affymetrix [at least 12428592] (imputed)	N
10	rs34268282	2	166873299	rs565348	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Self-reported math ability	564,698 European ancestry individuals	NA	2q24.3	Intergenic	LOC102724058, SCN1A			102724058, 6323			rs565348-A	rs565348	0	565348	intron_variant	0	0.6792	2E-9	8.698970004336019		0.0125	[0.0084-0.0166] unit increase	Affymetrix, Illumina [10000000] (imputed)	N
10	rs34268282	2	166873299	rs565348	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Self-reported math ability (MTAG)	670,471 European ancestry individuals	NA	2q24.3	Intergenic	LOC102724058, SCN1A			102724058, 6323			rs565348-A	rs565348	0	565348	intron_variant	0	0.6792	8E-10	9.096910013008056	(MTAG)	0.0118	[0.0081-0.0155] unit increase	Affymetrix, Illumina [7100000] (imputed)	N
10	rs34268282	2	166895066	rs6732655	2015-04-03	25087078	Anney RJ	2014-07-30	Lancet Neurol	www.ncbi.nlm.nih.gov/pubmed/25087078	Genetic determinants of common epilepsies: a meta-analysis of genome-wide association studies.	Epilepsy	405 European ancestry cases, 127 African American cases, 248 cases, 2,330 European ancestry genetic generalised epilepsy cases, 81 African American genetic generalised epilepsy cases, 195 genetic generalised epilepsy cases, 3,277 European ancestry focal epilepsy cases, 222 African American focal epilepsy cases, 487 Han Chinese ancestry focal epilepsy cases, 1,324 focal epilepsy cases, up to 17,441 European ancestry controls, up to 2,843 African American controls, up to 2,875 Han Chinese ancestry controls, up to 2,998 controls	NA	2q24.3	SCN1A	SCN1A			6323			rs6732655-T	rs6732655	0	6732655	intron_variant	0	0.78	9E-10	9.045757490560675	(All epilepsy)	1.12	[1.08-1.16]	Affymetrix, Illumina [NR] (imputed)	N
10	rs34268282	2	166897864	rs6432860	2015-06-26	25344690	Feenstra B	2014-10-26	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25344690	Common variants associated with general and MMR vaccine-related febrile seizures.	Febrile seizures	929 European ancestry MMR vaccine-related febrile seizures cases, 1,070 European ancestry MMR vaccine-unrelated febrile seizures cases, 4,118 European ancestry controls	Up to 408 European ancestry MMR vaccine-related febrile seizures cases, Up to 1,034 European ancestry MMR vaccine-unrelated febrile seizures cases, Up to 1,645 European ancestry controls	2q24.3	SCN1A	SCN1A			6323			rs6432860-G	rs6432860	0	6432860	missense_variant	0	0.704	2E-16	15.698970004336019	(Overall)	1.34	[1.25-1.43]	Illumina [up to 8129553] (imputed)	N
10	rs34268282	2	166897864	rs6432860	2015-06-26	25344690	Feenstra B	2014-10-26	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25344690	Common variants associated with general and MMR vaccine-related febrile seizures.	Febrile seizures (MMR vaccine-unrelated)	1,070 European ancestry cases, 4,118 European ancestry controls	Up to 1,034 European ancestry cases, Up to 1,645 European ancestry controls	2q24.3	SCN1A	SCN1A			6323			rs6432860-G	rs6432860	0	6432860	missense_variant	0	0.704	2E-9	8.698970004336019		1.29	[1.19-1.40]	Illumina [8129384] (imputed)	N
10	rs34268282	2	166942140	rs11904006	2012-11-05	22952603	Hart AB	2012-08-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/22952603	Genome-wide association study of d-amphetamine response in healthy volunteers identifies putative associations, including cadherin 13 (CDH13).	Response to amphetamines	1 American Indian ancestry individual, 18 African American individuals, 10 Asian ancestry individuals, 325 European ancestry individuals, 17 Hispanic individuals, 10 individuals	NA	2q24.3	intergenic	LOC101929680, SCN1A			101929680, 6323			rs11904006-?	rs11904006	0	11904006	intron_variant	0	NR	6E-6	5.221848749616356	(SF1)			Affymetrix [5476100] (imputed)	N
